Al,Co,Cr,Fe,Ni,Cu,Mn,cr,TAN,tAN,EL
0.0909090909090909,0.1818181818181818,0.1818181818181818,0.1818181818181818,0.1818181818181818,0.1818181818181818,0.0,0.0,25,0.0,25.86000099
0.024,0.244,0.244,0.244,0.244,0.0,0.0,0.0,25,0.0,60.0
0.024,0.244,0.244,0.244,0.244,0.0,0.0,0.0,800,1.0,46.0
0.1111111111111111,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,25,0.0,41.6
0.1111111111111111,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,650,0.5,38.9
0.1111111111111111,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,650,1.0,29.8
0.1111111111111111,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,650,2.0,29.8
0.1111111111111111,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0,0.0,70.0,1200,1.0,55.0
0.0909090909090909,0.0,0.1818181818181818,0.1818181818181818,0.3636363636363636,0.1818181818181818,0.0,43.3,25,0.0,16.1
0.0588,0.2353,0.2353,0.2353,0.2353,0.0,0.0,0.0,25,0.0,62.0
0.0588,0.2353,0.2353,0.2353,0.2353,0.0,0.0,30.0,25,0.0,12.5
0.0588,0.2353,0.2353,0.2353,0.2353,0.0,0.0,50.0,25,0.0,5.2
0.0588,0.2353,0.2353,0.2353,0.2353,0.0,0.0,70.0,25,0.0,4.3
0.0588,0.2353,0.2353,0.2353,0.2353,0.0,0.0,90.0,25,0.0,2.3
0.0526,0.2105,0.2105,0.2632,0.2632,0.0,0.0,0.0,25,0.0,45.3
0.0526,0.2105,0.2105,0.2632,0.2632,0.0,0.0,13.3,25,0.0,23.8
0.0526,0.2105,0.2105,0.2632,0.2632,0.0,0.0,26.7,25,0.0,4.96
0.0526,0.2105,0.2105,0.2632,0.2632,0.0,0.0,40.0,25,0.0,3.42
0.0526,0.2105,0.2105,0.2632,0.2632,0.0,0.0,60.0,25,0.0,2.84
0.0526,0.2105,0.2105,0.2632,0.2632,0.0,0.0,80.0,25,0.0,2.2
0.08,0.17,0.17,0.17,0.33,0.08,0.0,0.0,25,0.0,9.0
0.1428857114288571,0.1428857114288571,0.2856714328567143,0.1428857114288571,0.2856714328567143,0.0,0.0,0.0,25,0.0,7.4
0.1666833316668333,0.1666833316668333,0.1666833316668333,0.1666833316668333,0.3332666733326667,0.0,0.0,0.0,25,0.0,16.6
0.1613,0.1613,0.1613,0.1613,0.3547999999999999,0.0,0.0,0.0,25,0.0,20.5
0.1639163916391639,0.1639163916391639,0.1639163916391639,0.1639163916391639,0.3443344334433443,0.0,0.0,0.0,25,0.0,17.7
0.1639163916391639,0.1639163916391639,0.1639163916391639,0.1639163916391639,0.3443344334433443,0.0,0.0,8.0,25,0.0,10.4
0.1639163916391639,0.1639163916391639,0.1639163916391639,0.1639163916391639,0.3443344334433443,0.0,0.0,0.0,25,0.0,20.4
0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,0.0,25,0.0,0.2
0.1249750049990002,0.21875624875025,0.21875624875025,0.21875624875025,0.21875624875025,0.0,0.0,0.0,25,0.0,15.6
0.125,0.175,0.175,0.35,0.175,0.0,0.0,0.0,25,0.0,8.2
0.1667,0.0,0.1667,0.3333,0.3333,0.0,0.0,0.0,25,0.0,17.0
0.0,0.2,0.2,0.0,0.2,0.2,0.2,0.0,25,0.0,40.0
0.0,0.266,0.254,0.244,0.236,0.0,0.0,0.0,25,0.0,46.3
0.0,0.266,0.254,0.244,0.236,0.0,0.0,0.0,25,0.0,45.3
0.0,0.266,0.254,0.244,0.236,0.0,0.0,0.0,25,0.0,41.2
0.0,0.2,0.2,0.2,0.2,0.0,0.2,60.0,800,1.0,57.0
0.0,0.09,0.07,0.0,0.23,0.36,0.25,0.0,25,0.0,36.0
0.0,0.2,0.2,0.2,0.2,0.0,0.2,0.0,25,0.0,44.0
0.0,0.2,0.2,0.2,0.2,0.0,0.2,0.0,25,0.0,55.0
0.19,0.2,0.0,0.2,0.41,0.0,0.0,0.0,25,0.0,18.7
0.0,0.0,0.143,0.143,0.357,0.357,0.0,0.0,25,0.0,19.1
0.0,0.0,0.1333133313331333,0.1333133313331333,0.3333333333333333,0.3333333333333333,0.0667066706670667,0.0,25,0.0,24.48312767
0.0,0.0,0.125,0.125,0.3125,0.3125,0.125,0.0,25,0.0,23.49123551
0.0,0.0,0.1176117611761176,0.1176117611761176,0.2941294129412941,0.2941294129412941,0.1765176517651764,0.0,25,0.0,22.7525065
0.0,0.0,0.1110999999999999,0.1110999999999999,0.2778,0.2778,0.2221999999999999,0.0,25,0.0,22.62981535
0.0,0.0,0.1052789442111577,0.1052789442111577,0.2631473705258949,0.2631473705258949,0.2631473705258949,0.0,25,0.0,26.36444922
0.0,0.0,0.1,0.1,0.25,0.25,0.3,0.0,25,0.0,21.28827935
0.0,0.0,0.0952095209520952,0.0952095209520952,0.2381238123812381,0.2381238123812381,0.3333333333333333,0.0,25,0.0,7.573053691
0.075,0.0,0.06,0.4039999999999999,0.113,0.0,0.348,0.0,25,0.0,40.8
0.0,0.0825,0.0825,0.67,0.0825,0.0,0.0825,0.0,25,0.0,78.0
0.071,0.286,0.0,0.286,0.286,0.0,0.071,0.0,25,0.0,58.1
0.071,0.286,0.0,0.286,0.286,0.0,0.071,70.0,25,0.0,7.9
0.071,0.286,0.0,0.286,0.286,0.0,0.071,70.0,900,1.0,47.9
0.0,0.2,0.0,0.2,0.2,0.2,0.2,0.0,25,0.0,13.4
0.0,0.25,0.0,0.25,0.25,0.25,0.0,0.0,25,0.0,14.1
0.1228122812281228,0.1754175417541754,0.1754175417541754,0.3509350935093509,0.1754175417541754,0.0,0.0,0.0,25,0.0,7.9
0.13,0.2,0.235,0.2,0.235,0.0,0.0,0.0,25,0.0,6.0
0.105,0.2,0.2475,0.2,0.2475,0.0,0.0,0.0,25,0.0,25.0
0.155,0.2,0.2225,0.2,0.2225,0.0,0.0,0.0,25,0.0,0.5
0.18,0.2,0.21,0.2,0.21,0.0,0.0,0.0,25,0.0,0.6
0.1639999999999999,0.1639999999999999,0.1639999999999999,0.1639999999999999,0.344,0.0,0.0,0.0,25,0.0,17.0
0.1639999999999999,0.1639999999999999,0.1639999999999999,0.1639999999999999,0.344,0.0,0.0,90.0,25,0.0,6.0
0.1639999999999999,0.1639999999999999,0.1639999999999999,0.1639999999999999,0.344,0.0,0.0,90.0,800,1.0,12.0
0.141,0.0,0.06,0.282,0.188,0.0,0.3289999999999999,0.0,25,0.0,17.8
0.141,0.0,0.06,0.282,0.188,0.0,0.3289999999999999,65.0,25,0.0,2.3
0.141,0.0,0.06,0.282,0.188,0.0,0.3289999999999999,65.0,1000,1.0,19.5
0.0909090909090909,0.1818181818181818,0.1818181818181818,0.1818181818181818,0.3636363636363636,0.0,0.0,0.0,25,0.0,19.48253212
0.0909090909090909,0.1818181818181818,0.1818181818181818,0.1818181818181818,0.3636363636363636,0.0,0.0,50.0,25,0.0,1.612868541
0.0909090909090909,0.1818181818181818,0.1818181818181818,0.1818181818181818,0.3636363636363636,0.0,0.0,50.0,900,2.0,3.665584649
0.0909090909090909,0.1818181818181818,0.1818181818181818,0.1818181818181818,0.3636363636363636,0.0,0.0,50.0,1000,2.0,2.634094847
0.0909090909090909,0.1818181818181818,0.1818181818181818,0.1818181818181818,0.3636363636363636,0.0,0.0,50.0,1100,2.0,7.036530848
0.0,0.193,0.213,0.1939999999999999,0.193,0.0,0.207,0.0,25,0.0,61.7
0.046,0.193,0.209,0.191,0.18,0.0,0.181,0.0,25,0.0,58.5
0.07,0.186,0.186,0.186,0.186,0.0,0.186,0.0,25,0.0,47.2
0.076,0.182,0.2,0.183,0.177,0.0,0.182,0.0,25,0.0,36.8
0.093,0.18,0.19,0.175,0.178,0.0,0.184,0.0,25,0.0,30.2
0.104,0.176,0.19,0.174,0.176,0.0,0.18,0.0,25,0.0,18.9
